	log_likelihood
688	276.0708
689	261.41693
690	260.5297
691	254.10068
692	265.61636
693	288.13138
694	262.44662
695	289.84943
696	286.0834
697	317.50003
698	315.67215
699	294.5377
700	287.52252
701	297.0281
702	288.90396
703	306.21573
704	329.35223
705	315.1787
706	282.4468
707	288.68402
708	242.74634
709	304.96326
710	314.3932
711	300.28735
712	319.1199
713	334.20416
714	307.21872
715	293.1789
716	297.46762
717	313.50555
718	282.86176
719	325.47223
720	317.6288
721	319.65985
722	309.8802
723	258.563
724	180.33824
725	241.80826
726	334.31992
727	276.21658
728	315.6943
729	329.4159
730	332.57013
731	230.3027
732	327.54996
733	331.288
734	232.1937
735	256.41858
736	289.76675
737	286.49716
738	299.21393
739	329.16415
740	292.08307
741	266.7011
742	277.47452
743	300.52505
744	326.41846
745	293.49393
746	280.88232
747	331.76147
748	335.95605
749	325.9776
750	308.1259
751	243.4271
752	335.16455
753	252.14413
754	311.5158
755	247.94962
756	320.3921
757	308.88507
758	301.13785
759	340.62903
760	300.4398
761	311.86163
762	331.0584
763	278.0613
764	287.46332
765	296.6507
766	254.31755
767	214.99576
768	322.19977
769	291.76456
770	318.78015
771	239.52164
772	271.47833
773	292.9168
774	330.86395
775	318.3757
776	185.99011
777	295.18497
778	218.74954
779	300.81427
780	328.3985
781	302.05295
782	320.45596
783	319.3399
784	255.52444
785	205.0386
786	280.2464
787	331.76733
788	271.9855
789	327.02432
790	290.50275
791	287.5613
792	290.58002
793	270.11142
794	280.26782
795	273.62976
796	268.95673
797	298.2732
798	277.5552
799	314.24463
800	315.2821
801	303.8177
802	257.1164
803	292.44153
804	300.0644
805	280.17285
806	294.13516
807	296.8968
808	310.92142
809	292.82867
810	305.37488
811	317.24377
812	149.83119
813	291.49594
814	319.87808
815	314.0525
816	301.42596
817	274.26328
818	284.99652
819	181.09207
820	295.6153
821	318.76617
822	321.1585
823	295.14014
824	259.86334
825	281.52283
826	310.40118
827	281.49625
828	318.11758
829	204.4943
830	328.00983
831	213.7572
832	299.87262
833	318.9942
834	266.7646
835	258.785
836	311.26556
837	239.77945
838	291.01068
839	321.1122
840	321.73135
841	118.10828
842	314.90875
843	327.36072
844	238.34958
845	288.0717
846	314.0818
847	321.43604
848	312.90668
849	283.37177
850	308.0778
851	282.8799
852	297.39047
853	295.90936
854	317.01276
855	326.31064
856	307.2968
857	308.16428
858	286.0271
859	274.3204
860	254.11609
861	244.01155
862	302.0239
863	306.41238
864	312.1649
865	297.4161
866	311.6435
867	311.8322
868	289.1175
869	305.67725
870	245.14517
871	291.68057
872	264.9831
873	310.655
874	308.75195
875	294.69025
876	333.34662
877	275.09515
878	311.29062
879	285.10333
880	326.91046
881	330.66278
882	311.90192
883	280.6753
884	264.60248
885	247.81494
886	264.0373
887	306.7422
888	181.87148
889	282.60126
890	300.02493
891	269.8751
892	311.1015
893	277.9529
894	303.01007
895	284.0344
896	212.88205
897	312.99078
898	302.71417
899	283.8431
900	318.9579
901	269.75687
902	269.58212
903	233.28255
904	295.28073
905	199.6413
906	305.3818
907	330.6245
908	184.55351
909	303.95688
910	299.31366
911	302.00104
912	305.67853
913	334.04105
914	314.1678
915	274.60312
916	260.99707
917	323.88287
918	289.04327
919	293.75348
920	270.5953
921	280.48248
922	266.93912
