	z_coordinate_0	z_coordinate_1
84	1.0060314	-2.1839726
85	2.1843374	-2.211888
86	-6.83872	-11.228873
87	-9.209516	-3.421137
88	0.20372371	-3.64882
89	1.5858479	-2.0951428
90	1.5426506	-2.9636784
91	-10.80334	0.7226653
92	0.62609124	-3.1326547
93	1.7967069	5.110112
94	3.1605055	-3.1055012
95	1.1049485	-2.2591138
96	-6.4699183	-11.161604
97	1.8688171	-2.2636256
98	9.3921175	-8.054827
99	1.8841196	-2.08681
100	-7.4194555	7.7270613
101	1.9369078	-2.9946072
102	-10.948752	1.6601838
103	0.7653009	-2.7319005
104	-10.030207	-0.0044985265
105	11.445549	8.084083
106	0.9897427	-2.1656075
107	-10.687733	0.2162816
108	2.5936575	-2.3074918
109	-7.049394	7.896936
110	0.6002579	-2.5178049
111	1.9945277	-2.8263438
112	-6.625816	-11.416176
113	-6.958353	7.921491
114	-0.006616622	10.032154
115	2.0279918	-2.617551
116	3.9924285	-2.803356
117	-0.028052792	-1.3567947
118	12.06105	7.7587566
119	-6.929365	8.1223345
120	0.8291338	-2.0780957
121	-0.0700611	10.05032
122	-2.6745017	3.3048651
123	7.1176176	1.8364494
124	0.9536562	-2.0060859
125	0.3814366	-1.8854206
126	2.3370824	4.787593
127	-5.990366	-7.7368226
128	12.819367	3.0839343
129	-6.6340017	7.1987543
130	-6.692216	-11.850215
131	2.038208	-2.62052
132	-5.39368	-12.12295
133	0.50498116	6.0328546
134	-10.640456	0.6330802
135	4.7956085	3.287621
136	-6.1948357	7.049158
137	0.54354066	-2.108444
138	-2.301055	3.4817958
139	3.600207	2.6268709
140	11.349236	7.4458737
141	4.167495	5.6972594
142	5.940204	-4.753956
143	12.719548	1.9427093
144	3.2738018	-3.1584969
145	11.165615	8.190841
146	0.028900005	10.241517
147	-7.0567865	-11.860565
148	-0.67443186	10.108301
149	7.791286	11.35267
150	6.5767055	2.515701
151	-0.35214263	-2.115204
152	0.59309477	-2.0137584
153	-10.682893	0.8322561
154	8.15425	-1.566003
155	2.0906212	-2.084867
156	2.4785657	-2.3279412
157	1.12067	-1.8573767
158	-10.857677	0.48241848
159	-6.8849797	-11.546043
160	1.3027394	-2.6242273
161	-7.309379	7.730805
162	-3.6311195	-2.724191
163	-7.070909	7.4179807
164	-10.885726	0.12427524
165	-2.5868974	-14.405191
166	12.112077	7.7314925
167	-5.919904	-11.547363
168	1.8584486	-2.151641
169	-11.118952	0.61071396
170	6.672947	2.6962626
171	1.9319396	-2.2830772
172	2.010818	-2.398805
173	0.106322125	-1.8721932
174	-0.16514446	-3.0507371
175	-6.739451	-10.965051
176	2.5786839	-4.352357
177	-7.108431	-11.1264105
178	0.2653689	10.192428
179	-3.6585588	-11.450092
180	-6.4962006	-11.30983
181	-6.29116	-11.140668
182	6.8762507	2.2194247
183	1.4700816	-2.7355738
184	11.35663	7.8720317
185	-4.595646	0.6616491
186	3.0213003	-2.5483298
187	-7.1080613	7.3967457
188	-6.743322	7.6792693
189	-9.09729	-3.5299537
190	-4.5390453	0.56638765
191	6.55455	2.4760017
192	-11.10906	0.59273326
193	-0.12726448	1.8065045
194	-9.005021	-2.9331648
195	1.8373678	-2.4128613
196	-1.032629	6.4191513
197	0.8859305	-2.2049205
198	-7.0373974	7.5932117
199	0.136571	-1.8841007
200	-2.3049476	3.4642875
201	3.7947998	-2.5347767
202	6.064737	2.34748
203	-10.736304	0.7340584
204	-10.416273	-0.7151678
205	5.376248	-3.4910283
206	-6.8577466	7.749587
207	-6.1081634	-8.962221
208	-11.147777	-0.004459642
209	-7.166838	12.10723
210	6.436822	2.6251776
211	-11.04915	0.20893995
212	-2.1045027	3.4298227
213	-2.710376	2.6921058
214	18.464718	-4.996828
215	6.4235415	2.5740182
216	13.144168	-4.4217153
217	0.54210335	-2.3398354
218	5.0016465	6.625375
219	-9.010347	-2.8902395
220	3.6185262	1.3608762
221	1.8596145	-1.7175329
222	1.9548666	-1.6344192
223	6.3511786	2.6819477
224	0.37230486	-1.3765326
225	-6.7553906	-11.961942
226	1.0874428	-2.4574866
227	-2.2831523	3.4303098
228	0.74882925	-1.8163433
229	7.138269	1.6749955
230	1.116073	-2.2949378
231	0.8768616	-2.689099
232	6.3440013	2.4043956
233	-6.8138576	-11.147402
234	-7.065928	6.8131633
235	1.7847136	-2.0433583
236	1.0694789	-2.104899
237	13.832127	-0.38320917
238	1.246842	-1.7855003
239	-6.4275746	-11.223458
240	6.0398784	-7.8456917
241	2.024777	-1.9922193
242	1.3340843	-2.4575748
243	1.5564336	-1.5588373
244	-6.5524845	7.9129124
245	6.454965	7.6169143
246	1.9402544	-2.4969225
247	2.0281777	-2.2626534
248	0.5736244	-2.5491524
249	0.7173372	-2.732285
